names,scores,logfoldchanges,pvals,pvals_adj
AC004057.1,17.35286,1.642524,1.8766616587329414e-67,3.124952956378289e-65
FAM103A1,17.343029,1.246953,2.226872103447934e-67,3.6772276063528715e-65
YBX3,17.342968,1.0597004,2.2292570945016696e-67,3.6772276063528715e-65
ZNF644,17.328941,1.3750149,2.8451857974180966e-67,4.671289859452562e-65
PRELID3B,17.296263,1.2639781,5.019105411050197e-67,8.20215202870924e-65
ATP1B1,17.28498,1.2927599,6.104217408230041e-67,9.92924438139641e-65
MLXIP,17.275175,1.6084914,7.235444278731545e-67,1.1715084549918564e-64
LINC00493,17.26431,1.047474,8.734116344992503e-67,1.407675127437209e-64
TES,17.26377,1.2588388,8.816403065819314e-67,1.4144489576144367e-64
BCAM,17.260952,1.4865716,9.25730800207692e-67,1.4784341666044208e-64
TWF1,17.255243,1.516385,1.0219179176565393e-66,1.6246645265548644e-64
CDK6,17.24572,1.4875668,1.2050316948176264e-66,1.907152639523302e-64
ADM,17.23408,1.5418912,1.4737873645689917e-66,2.3220412131897543e-64
PTPRF,17.22479,1.8604319,1.7305154078629543e-66,2.714359770324326e-64
TJP1,17.200726,1.5668898,2.6222905184042587e-66,4.094852327294828e-64
DANCR,17.181593,1.205865,3.6475548277908677e-66,5.6706565873642535e-64
ABHD11,17.137127,1.7961341,7.843040442017936e-66,1.2139437265651992e-63
EFNA1,17.092245,1.9333285,1.695224073069818e-65,2.600947502502535e-63
TXNRD1,17.085268,1.291688,1.910632111688307e-65,2.9186982280073335e-63
IRS2,17.047815,1.3448967,3.628406023879721e-65,5.518789854935671e-63
KRT10,17.027195,0.9320504,5.161997256086896e-65,7.783981699253781e-63
ARID2,17.006636,2.228415,7.332966278120482e-65,1.1010417529135176e-62
CST3,16.96756,1.0218916,1.427425286071953e-64,2.134152656431407e-62
CHD3,16.9282,1.7269168,2.7877502394874435e-64,4.150322231542006e-62
JUP,16.923918,1.4591639,2.9980369719478054e-64,4.444558186050048e-62
TRA2A,16.90128,1.3085254,4.402469151326504e-64,6.49919132906961e-62
SAV1,16.849667,1.9759254,1.0550866499355051e-63,1.5510656671750615e-61
ACADVL,16.8382,1.1742111,1.2807525329791293e-63,1.874968343592571e-61
IGFBP2,16.817406,1.398075,1.819528204405406e-63,2.6526607245553503e-61
TMEM189,16.809483,1.3812326,2.0797902078683154e-63,3.019563179894763e-61
SNRPF,16.80034,0.94449943,2.426453618642696e-63,3.5083723411938736e-61
ATP2A2,16.796144,1.5028955,2.604280343651643e-63,3.750056962057397e-61
CLIC1,16.77016,0.82133085,4.0342001426773306e-63,5.761854553372683e-61
EFNA5,16.760687,2.6005225,4.731305542549204e-63,6.730138471152481e-61
SRRM1,16.737383,0.8700424,6.99983303919533e-63,9.877073647876624e-61
MAFF,16.723148,1.113237,8.889681859557963e-63,1.249355888542276e-60
MLF1,16.719395,1.2867925,9.467476476438308e-63,1.32525811155243e-60
CITED2,16.683186,1.3194568,1.7370289580625367e-62,2.4218457318066362e-60
SLCO3A1,16.669048,1.7584434,2.20067854149263e-62,3.056159705744804e-60
MYOF,16.667461,2.135183,2.2598887428753816e-62,3.12603114098136e-60
KLK8,16.63541,1.751576,3.860978264375205e-62,5.278423008514507e-60
ARF1,16.61991,0.7116365,5.000898095623118e-62,6.810331573244894e-60
ADAM17,16.504107,1.4723991,3.4276738042174454e-61,4.649857880740539e-59
SEC11C,16.48404,1.0222967,4.778274513700952e-61,6.457102886110883e-59
ZC3H12A,16.470728,1.2481511,5.955034197620019e-61,8.016479943807638e-59
PLAT,16.466015,1.8259085,6.437399587048673e-61,8.632749408051723e-59
SRP9,16.459839,1.1065452,7.129057134763908e-61,9.523932411784408e-59
PUM1,16.441727,1.4994087,9.613907605731331e-61,1.2794872868460997e-58
SNRPE,16.43052,0.94330674,1.156650680052599e-60,1.5335442129678515e-58
ANKH,16.410648,2.0962546,1.604821158666137e-60,2.119751556756944e-58
EMID1,16.381046,3.3210995,2.612121358805742e-60,3.437336477214972e-58
ANKRD36C,16.348995,2.7383862,4.422126782654626e-60,5.797441213006354e-58
DDX52,16.345415,1.5660172,4.6896920179487694e-60,6.1253653922167286e-58
ENAH,16.342056,1.4513003,4.9553493885028803e-60,6.448377806112916e-58
DUSP16,16.326344,2.093891,6.411292043509978e-60,8.312204647554357e-58
SEC11A,16.318039,0.9055188,7.345741154239718e-60,9.488699097581342e-58
WASF2,16.309057,1.0904179,8.509554741573372e-60,1.095176578187474e-57
EIF4A1,16.27232,1.4345233,1.5516828419976829e-59,1.9897217756784156e-57
VCL,16.244968,1.532609,2.424678484003935e-59,3.097857401290119e-57
DHRS3,16.23996,2.2044601,2.6309374827487027e-59,3.3492024803034663e-57
PSMB6,16.239346,0.9238578,2.6574530435101635e-59,3.3707441402068445e-57
NRAS,16.197882,1.4400773,5.219392263422295e-59,6.596523279688572e-57
CST5,16.192297,4.8321123,5.715526957265459e-59,7.197671671810821e-57
SMARCA4,16.16198,1.4585652,9.35091623736761e-59,1.1733730071425394e-56
AP1M2,16.143206,1.5733855,1.2678377812048363e-58,1.585248414328538e-56
MARCH6,16.134382,1.259861,1.4626163976521802e-58,1.8223059266492677e-56
BARX2,16.128674,4.120931,1.604273545341142e-58,1.991736785002156e-56
ATXN7L3B,16.123901,1.5513741,1.733163831277559e-58,2.144179972251304e-56
NCOA3,16.107058,1.7260883,2.276022278286358e-58,2.8058962367575855e-56
SDC4,16.09265,1.357778,2.8727696276140658e-58,3.5291874428748324e-56
PRPF38A,16.08523,1.4375235,3.238464695746618e-58,3.9645803862389343e-56
ZBTB10,16.084602,2.2372794,3.271442787427999e-58,3.9910466088987065e-56
KCTD12,16.0456,1.946451,6.1362813832033985e-58,7.460146934216311e-56
RPL41,16.043829,0.6696823,6.3139107485646085e-58,7.6496294534764665e-56
SORT1,16.043102,2.4123447,6.388160284605153e-58,7.712990089333404e-56
BBX,16.040937,1.2968342,6.614857466033075e-58,7.959349899625757e-56
CALR,16.002882,0.829432,1.2199444080776494e-57,1.4628923814951606e-55
C11orf31,15.972849,0.98273283,1.975526487250904e-57,2.352885529815611e-55
BHLHE41,15.95555,1.9439956,2.606668653820286e-57,3.086112074535849e-55
