gene,rho,pval,padj
C16orf59|80178,-0.3442993424790704,5.698909694770983e-10,4.9684860578355466e-08
FAM129B|64855,0.3441164443272127,5.827347955857895e-10,5.056722034592576e-08
CBX7|23492,0.3438630412188565,6.009951489360801e-10,5.190920891043259e-08
FBXL8|55336,0.3434997333253704,6.281477188668308e-10,5.4003255274801155e-08
ANTXR2|118429,0.3433101994129011,6.427818840347389e-10,5.5006726205184794e-08
ZNF511|118472,-0.3428830223235282,6.76988716038589e-10,5.741937293916422e-08
GPR124|25960,0.342880948648337,6.771590023520174e-10,5.741937293916422e-08
IFT52|51098,-0.34273745032511077,6.890443533033465e-10,5.8161607458377927e-08
TBCE|6905,-0.34268477897525607,6.934574992981967e-10,5.826925684148196e-08
FBXL7|23194,0.3425611879338647,7.039207490461427e-10,5.888201941345437e-08
SFRS9|8683,-0.34237455716666293,7.200119628428546e-10,5.978108357827419e-08
BICC1|80114,0.34233183945772566,7.237449698677721e-10,5.978108357827419e-08
UMPS|7372,-0.34232520369711406,7.243265377012221e-10,5.978108357827419e-08
SNRPB|6628,-0.3422281556981691,7.328839728171538e-10,6.021971404962189e-08
ZFP36|7538,0.3418540646936892,7.667979505987137e-10,6.272880150933089e-08
C20orf7|79133,-0.34172383789168614,7.78957555413369e-10,6.344404300011518e-08
KANK1|23189,0.34158116903853636,7.924937314216947e-10,6.426466634279857e-08
TFB2M|64216,-0.341375045724538,8.124543097254896e-10,6.559685448522758e-08
ALKBH2|121642,-0.3413128354688041,8.185738904933407e-10,6.580483613186725e-08
SWAP70|23075,0.34126762934963745,8.230488263717026e-10,6.587938235225223e-08
MRPL42|28977,-0.34112952258190815,8.368675169353579e-10,6.669798192913989e-08
NSMCE4A|54780,-0.3410743628218241,8.424493897036855e-10,6.685591951622838e-08
C3orf67|200844,-0.34087114265309326,8.633276506157345e-10,6.822125307206038e-08
RNASEL|6041,0.3407371832357462,8.773639335522498e-10,6.90366451104461e-08
ARHGEF6|9459,0.34044894238417905,9.083208014618979e-10,7.117095900062213e-08
FABP6|2172,-0.34028308323443657,9.266116705260643e-10,7.229907025911351e-08
H6PD|9563,0.34009849127687797,9.473886734568887e-10,7.361091073679675e-08
FKBP15|23307,0.34004830833725264,9.531147895554757e-10,7.374725684185494e-08
LRCH1|23143,0.3397766568872145,9.846992495778073e-10,7.587495877452232e-08
DSCR8|84677,-0.33959942035299545,1.0058512092106182e-09,7.709902400217317e-08
C17orf60|284021,0.3395742661885601,1.0088886824193903e-09,7.709902400217317e-08
PDCL3|79031,-0.33933994089196234,1.0376154241102146e-09,7.867827178107616e-08
SMUG1|23583,-0.33933662301165657,1.0380278183286838e-09,7.867827178107616e-08
ZNF207|7756,-0.33913879439842265,1.0629063468241046e-09,8.023646691269766e-08
SLC24A3|57419,0.33903096328848387,1.0767095743146012e-09,8.094937973693176e-08
C13orf31|144811,0.338530378097345,1.1430991048996003e-09,8.559415474994186e-08
APEX1|328,-0.33762998832935603,1.2726421432000984e-09,9.457448964272542e-08
USH1C|10083,-0.3375938837640658,1.2781230876358231e-09,9.457448964272542e-08
POLR3K|51728,-0.33759266217591566,1.2783089337815876e-09,9.457448964272542e-08
RELN|5649,0.3375542799433757,1.2841615780246942e-09,9.463047819015305e-08
