row_index,zero_proportion,zero_count,total_count
480,0,0,307
481,0.43973941368078173,135,307
482,0.05863192182410423,18,307
483,0,0,307
484,0,0,307
485,0,0,307
486,0,0,307
487,0.009771986970684038,3,307
488,0,0,307
489,0,0,307
490,0,0,307
491,0,0,307
492,0,0,307
493,0.1791530944625407,55,307
494,0,0,307
495,0,0,307
496,0,0,307
497,0.6742671009771987,207,307
498,0,0,307
499,0,0,307
500,0,0,307
501,0,0,307
502,0,0,307
503,0,0,307
504,0,0,307
505,0,0,307
506,0,0,307
507,0.6351791530944625,195,307
508,0,0,307
509,0,0,307
510,0.14006514657980457,43,307
511,0.36482084690553745,112,307
512,0,0,307
513,0.013029315960912053,4,307
514,0.003257328990228013,1,307
515,0,0,307
516,0.6872964169381107,211,307
517,0.6905537459283387,212,307
518,0.7035830618892508,216,307
519,0.02280130293159609,7,307
520,0,0,307
521,0.003257328990228013,1,307
522,0.009771986970684038,3,307
523,0,0,307
524,0,0,307
525,0,0,307
526,0,0,307
527,0,0,307
528,0,0,307
529,0,0,307
530,0.1465798045602606,45,307
531,0.16612377850162866,51,307
532,0,0,307
533,0,0,307
534,0,0,307
535,0,0,307
536,0,0,307
537,0,0,307
538,0,0,307
539,0.006514657980456026,2,307
540,0,0,307
541,0,0,307
542,0.013029315960912053,4,307
543,0,0,307
544,0,0,307
545,0,0,307
546,0,0,307
547,0,0,307
548,0,0,307
549,0,0,307
550,0.016286644951140065,5,307
551,0,0,307
552,0,0,307
553,0.11400651465798045,35,307
554,0,0,307
555,0,0,307
556,0,0,307
557,0,0,307
558,0,0,307
559,0,0,307
560,0,0,307
561,0.24429967426710097,75,307
562,0.05537459283387622,17,307
563,0,0,307
564,0,0,307
565,0,0,307
566,0,0,307
567,0,0,307
568,0,0,307
569,0,0,307
570,0,0,307
571,0,0,307
572,0,0,307
573,0,0,307
574,0,0,307
575,0,0,307
576,0,0,307
577,0,0,307
578,0.003257328990228013,1,307
579,0.4820846905537459,148,307
580,0.0749185667752443,23,307
581,0,0,307
582,0.1237785016286645,38,307
583,0.006514657980456026,2,307
584,0,0,307
585,0.003257328990228013,1,307
586,0.10097719869706841,31,307
587,0,0,307
588,0,0,307
589,0.02280130293159609,7,307
590,0.5765472312703583,177,307
591,0,0,307
592,0.003257328990228013,1,307
593,0,0,307
594,0,0,307
595,0.048859934853420196,15,307
596,0.05211726384364821,16,307
597,0,0,307
598,0.016286644951140065,5,307
599,0.08469055374592833,26,307
600,0,0,307
601,0,0,307
602,0,0,307
603,0.3289902280130293,101,307
604,0,0,307
605,0.36156351791530944,111,307
606,0.1758957654723127,54,307
607,0.19218241042345277,59,307
608,0.7817589576547231,240,307
609,0,0,307
610,0.9087947882736156,279,307
611,0.04234527687296417,13,307
612,0,0,307
613,0,0,307
614,0.026058631921824105,8,307
615,0,0,307
616,0.8501628664495114,261,307
617,1,307,307
618,0,0,307
619,0.22149837133550487,68,307
620,0.009771986970684038,3,307
621,0,0,307
622,0,0,307
623,0,0,307
624,0,0,307
625,0,0,307
626,0,0,307
627,0,0,307
628,0,0,307
629,0,0,307
630,0,0,307
631,0,0,307
632,0.4755700325732899,146,307
633,0,0,307
634,0,0,307
635,0,0,307
636,0.8501628664495114,261,307
637,0,0,307
638,0.026058631921824105,8,307
639,0.2931596091205212,90,307
640,0,0,307
641,0.003257328990228013,1,307
642,0,0,307
643,0,0,307
644,0,0,307
645,0,0,307
646,0,0,307
647,0,0,307
648,0,0,307
649,0,0,307
650,0,0,307
651,0,0,307
652,0,0,307
653,0,0,307
654,0,0,307
655,0,0,307
656,0,0,307
657,0.254071661237785,78,307
658,0,0,307
659,0,0,307
660,0.3550488599348534,109,307
661,0,0,307
662,0.4788273615635179,147,307
663,0.013029315960912053,4,307
664,0.23127035830618892,71,307
665,0,0,307
666,0,0,307
667,0,0,307
668,0,0,307
669,0,0,307
670,0,0,307
671,0.2671009771986971,82,307
672,0,0,307
673,0,0,307
674,0,0,307
675,0,0,307
676,0,0,307
677,0.016286644951140065,5,307
678,0,0,307
679,0,0,307
680,0,0,307
681,0,0,307
682,0,0,307
683,0,0,307
684,0,0,307
685,0,0,307
686,0,0,307
687,0,0,307
688,0,0,307
689,0,0,307
690,0,0,307
691,0,0,307
692,0,0,307
693,0.08143322475570032,25,307
694,0.048859934853420196,15,307
695,0.31596091205211724,97,307
696,0.10097719869706841,31,307
697,0,0,307
698,0,0,307
699,0.003257328990228013,1,307
700,0.38762214983713356,119,307
701,0,0,307
702,0,0,307
703,0,0,307
704,0,0,307
705,0.029315960912052116,9,307
706,0.8925081433224755,274,307
707,0.5342019543973942,164,307
708,0.16938110749185667,52,307
709,0,0,307
710,0.1465798045602606,45,307
711,0,0,307
712,0.13029315960912052,40,307
713,0.5798045602605864,178,307
714,0,0,307
715,0,0,307
716,0,0,307
717,0,0,307
718,0,0,307
719,0,0,307
720,0,0,307
721,0,0,307
722,0,0,307
723,0,0,307
724,0,0,307
725,0,0,307
726,0,0,307
727,0,0,307
728,0,0,307
729,0,0,307
730,0,0,307
731,0.2703583061889251,83,307
732,0.003257328990228013,1,307
733,0,0,307
734,0,0,307
735,0,0,307
736,0,0,307
737,0.05863192182410423,18,307
738,0,0,307
739,0,0,307
740,0,0,307
741,0,0,307
742,0.7947882736156352,244,307
743,0,0,307
744,0,0,307
745,0,0,307
746,0,0,307
747,0,0,307
748,0.003257328990228013,1,307
749,0.06188925081433225,19,307
750,0.09120521172638436,28,307
751,0,0,307
752,0,0,307
753,0,0,307
754,0,0,307
755,0,0,307
756,0,0,307
757,0,0,307
758,0.21498371335504887,66,307
759,0.8273615635179153,254,307
760,0,0,307
761,0,0,307
762,0,0,307
763,0,0,307
764,0.20521172638436483,63,307
765,0,0,307
766,0.5407166123778502,166,307
767,0,0,307
768,0.03257328990228013,10,307
769,0,0,307
770,0,0,307
771,0,0,307
772,0.28013029315960913,86,307
773,0,0,307
774,0,0,307
775,0,0,307
776,0,0,307
777,0,0,307
778,0,0,307
779,0.9185667752442996,282,307
780,0.006514657980456026,2,307
781,0.013029315960912053,4,307
782,0,0,307
783,0,0,307
784,0,0,307
785,0,0,307
786,0,0,307
787,0.9771986970684039,300,307
788,0,0,307
789,0,0,307
790,0,0,307
791,0,0,307
792,0,0,307
793,0,0,307
