gene,log2FC,pval,mean_high,mean_low,padj
TGIF2,-0.3565574987426192,5.100042276854528e-06,10.750486085093874,11.107043583836493,0.0001272389714154693
C10orf2,-0.3565535029644522,4.427486978307888e-05,8.657144263723648,9.0136977666881,0.0006103679861192985
CCNC,-0.3565042467146142,0.00026193843595780525,9.836083540531083,10.192587787245698,0.0022142118235812026
LOC100128164,-0.35644775804840756,0.004102839058501328,1.8303021639130244,2.186749921961432,0.017559994760033205
SV2A,-0.3560793134009055,0.010337035977070521,7.323187829608607,7.679267143009512,0.035140835968228194
ACVRL1,0.3560662202389846,0.001671338975317539,7.78034997869779,7.424283758458805,0.009045574574760155
FBXO5,-0.35606257377861006,0.001115534276701901,8.042502539931892,8.398565113710502,0.006633016290101373
C11orf45,0.35595224685413296,0.0013549066082086903,6.762477431889985,6.406525185035852,0.007694652988698295
GUCY2C,-0.35592633210217084,0.003397409508769525,1.4459207025343137,1.8018470346364845,0.015253103475637833
AFF1,0.35588649711360887,2.4220583276954085e-05,10.336620109622253,9.980733612508644,0.00039915607048838164
ENO3,-0.35578562171506967,0.007998003609493013,5.7067165462862635,6.062502168001333,0.02901800420870996
CPNE1,-0.35570012353243285,0.0004013536820184924,11.739848282260269,12.095548405792702,0.0030613656858166365
CLSTN1,0.3555157832141109,2.420178452175436e-06,13.081310374476551,12.72579459126244,7.482558612121748e-05
GDPD1,-0.355435566910133,0.0020299364239215836,4.855760246804098,5.211195813714231,0.01043311816392086
TJP2,0.35541999343279507,3.3156568387507353e-06,10.945485767889542,10.590065774456747,9.364645250704318e-05
SLC5A6,-0.35541632357720054,3.562943735692124e-05,9.869312209379599,10.2247285329568,0.0005190685995477503
MOGAT2,0.35538655037393685,0.008703064350775513,1.428450477718448,1.073063927344511,0.03082605006116387
ISYNA1,-0.3553368187865136,0.0009888196526099918,12.022504770579236,12.37784158936575,0.006058038001307395
KCNG2,0.35519168850977545,0.0024870614775893566,1.9064448929832047,1.5512532044734293,0.012147451577715506
PTGFRN,0.3549203869982662,6.736680107235007e-05,11.076283508397175,10.721363121398909,0.0008170897013252022
AMY2A,0.3548832147419758,0.008920683046042792,1.2361635945849296,0.8812803798429538,0.0314015734971716
