gene,logrank_p_value,logrank_test_statistic,cox_p_unadjusted,cox_hr_unadjusted,cox_hr_ci_lower_unadjusted,cox_hr_ci_upper_unadjusted,cox_p_adjusted,cox_hr_adjusted,cox_hr_ci_lower_adjusted,cox_hr_ci_upper_adjusted,high_group_n,low_group_n,high_group_events,low_group_events,median_survival_high,median_survival_low,expression_mean,expression_std,age_mean_high,age_mean_low,age_difference_p_value,has_age_data,cox_p_adjusted_fdr
EHD2|30846,0.03989824905200996,4.222206322104546,0.0001673775309161278,1.0002125986924137,1.0001018830766335,1.0003233265648928,3.563058609681648e-05,1.000235359446733,1.0001237700967296,1.0003469612473785,118,118,75,67,1249.0,1329.0,1983.4922925423732,1472.6584083541209,58.067796610169495,59.644067796610166,0.2557713411929755,True,0.034249476711920836
RFPL4B|442247,0.21100821492796543,1.5644954300430942,2.94943350862642e-05,1.0231057674444501,1.0121990342374503,1.0341300238116438,4.937110214737991e-05,1.0220344959007606,1.0113336705297074,1.0328485456872154,118,151,72,88,1249.0,1399.0,1.4326379661016952,11.925509126548736,59.779661016949156,58.7682119205298,0.4517728979251827,True,0.0411897096114312
KRTAP10-8|386681,0.7335024115045767,0.11592000157543199,8.190543981881442e-05,4.23082399158078,2.0639997228301117,8.672419598579989,5.0053816671784746e-05,4.295151891666804,2.123537093879336,8.687547689024358,295,282,179,169,1348.0,1354.0,0.02561322033898305,0.15905846910282953,59.2,59.04255319148936,0.86249322636035,True,0.0411897096114312
CAMK2A|815,0.23503009243875309,1.4101584438808443,5.083555916307567e-05,1.0538404737562568,1.0274434497903873,1.0809156886964293,5.0262200072110525e-05,1.054094976650844,1.027588675176429,1.0812849991848863,118,118,73,67,1249.0,1492.0,3.5908755932203396,6.728464873219637,58.347457627118644,60.1271186440678,0.21474776176065138,True,0.0411897096114312
SLC44A5|204962,0.0018965721886007381,9.64703740904668,0.002019756591437575,0.9982374581965536,0.997120130045755,0.9993560383752264,5.101271873009908e-05,0.9974882268354632,0.9962752221310135,0.9987027084213814,118,118,72,74,1562.0,1163.0,120.03368372881356,152.9390759467267,61.110169491525426,57.03389830508475,0.002750143253508124,True,0.0411897096114312
?|645851,0.05150350276073414,3.791823746053668,9.834260421228639e-05,1.0151569676726515,1.007500787161574,1.0228713288827074,5.56945813917737e-05,1.0151057192624067,1.007731494414923,1.0225339060952037,118,118,77,70,1123.0,1448.0,16.861652203389834,18.815888720221405,60.41525423728814,58.644067796610166,0.21178082622382358,True,0.043240416152859375
DOCK11|139818,0.016362067095224444,5.763540763070941,3.155973654261517e-05,1.0011570596529913,1.0006119999965524,1.0017024162177515,7.82828496967972e-05,1.0011076479347465,1.000557830991936,1.00165776700769,118,118,76,72,1163.0,1484.0,214.35868,227.62504411391274,60.11864406779661,58.03389830508475,0.1378386306194165,True,0.05852657792516845
CCDC80|151887,0.010766325587571483,6.5034850539672275,2.347436672542372e-05,1.000117974777152,1.000063296549356,1.0001726559944675,8.940793303581193e-05,1.0001120066008145,1.0000559694952817,1.0001680468463285,118,118,74,63,1189.0,1484.0,1911.8821498305083,2509.8169444153045,59.686440677966104,58.33898305084746,0.3460136398289474,True,0.06445673343788927
WAPAL|23063,0.04752309072129744,3.9267716946456646,0.00025907703533510927,1.0004173554215912,1.0001934149074034,1.000641346075435,9.663735382030951e-05,1.0004658365068193,1.000231633928934,1.0007000939228496,118,118,74,72,1161.0,1470.0,1107.6219145762711,494.3695270441053,59.76271186440678,58.186440677966104,0.26940686087439236,True,0.06726626290402647
LUZP1|7798,0.0007211026235477669,11.43405185217488,4.028365636144399e-05,1.0006895980850798,1.0003603527461824,1.0010189517874215,0.00010506821842977545,1.000661512176302,1.0003271753075824,1.0009959607896035,118,118,79,70,1088.0,1484.0,921.4450562711864,433.86001412718605,60.90677966101695,58.8728813559322,0.15847682057815543,True,0.07069690190744825
EML2|24139,0.01661576591411282,5.736511090075949,0.0006445607924279845,1.0008030016326637,1.000341670854199,1.0012645451645237,0.00011720619380873023,1.00087931915561,1.0004317979054984,1.0013270405945498,118,118,79,70,1259.0,1484.0,457.6300291525425,304.64156105563416,58.220338983050844,59.41525423728814,0.4002772423637715,True,0.07632013639429124
